Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,MIDCPNIFTY,35317,OPTIDX,CE,8800,MIDCPNIFTY,MIDCPNIFTY 29th APR 8800 CE,MIDCPNIFTY29APR24C8800,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35330,OPTIDX,PE,8800,MIDCPNIFTY,MIDCPNIFTY 29th APR 8800 PE,MIDCPNIFTY29APR24P8800,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35331,OPTIDX,CE,8900,MIDCPNIFTY,MIDCPNIFTY 29th APR 8900 CE,MIDCPNIFTY29APR24C8900,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35348,OPTIDX,PE,8900,MIDCPNIFTY,MIDCPNIFTY 29th APR 8900 PE,MIDCPNIFTY29APR24P8900,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35349,OPTIDX,CE,9000,MIDCPNIFTY,MIDCPNIFTY 29th APR 9000 CE,MIDCPNIFTY29APR24C9000,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35356,OPTIDX,PE,9000,MIDCPNIFTY,MIDCPNIFTY 29th APR 9000 PE,MIDCPNIFTY29APR24P9000,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35357,OPTIDX,CE,9100,MIDCPNIFTY,MIDCPNIFTY 29th APR 9100 CE,MIDCPNIFTY29APR24C9100,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35358,OPTIDX,PE,9100,MIDCPNIFTY,MIDCPNIFTY 29th APR 9100 PE,MIDCPNIFTY29APR24P9100,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35362,OPTIDX,CE,9200,MIDCPNIFTY,MIDCPNIFTY 29th APR 9200 CE,MIDCPNIFTY29APR24C9200,2024-04-29,75,0.05
NFO,nse_fo,BANKNIFTY,35363,OPTIDX,CE,39500,BANKNIFTY,BANKNIFTY 26th JUN 39500 CE,BANKNIFTY26JUN24C39500,2024-06-26,15,0.05
NFO,nse_fo,BANKNIFTY,35364,OPTIDX,PE,39500,BANKNIFTY,BANKNIFTY 26th JUN 39500 PE,BANKNIFTY26JUN24P39500,2024-06-26,15,0.05
NFO,nse_fo,BANKNIFTY,35365,OPTIDX,CE,40000,BANKNIFTY,BANKNIFTY 26th JUN 40000 CE,BANKNIFTY26JUN24C40000,2024-06-26,15,0.05
NFO,nse_fo,BANKNIFTY,35366,OPTIDX,PE,40000,BANKNIFTY,BANKNIFTY 26th JUN 40000 PE,BANKNIFTY26JUN24P40000,2024-06-26,15,0.05
NFO,nse_fo,MIDCPNIFTY,35367,OPTIDX,PE,9200,MIDCPNIFTY,MIDCPNIFTY 29th APR 9200 PE,MIDCPNIFTY29APR24P9200,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35378,OPTIDX,CE,9300,MIDCPNIFTY,MIDCPNIFTY 29th APR 9300 CE,MIDCPNIFTY29APR24C9300,2024-04-29,75,0.05
