Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,MIDCPNIFTY,35488,OPTIDX,CE,9700,MIDCPNIFTY,MIDCPNIFTY 29th APR 9700 CE,MIDCPNIFTY29APR24C9700,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35489,OPTIDX,PE,9700,MIDCPNIFTY,MIDCPNIFTY 29th APR 9700 PE,MIDCPNIFTY29APR24P9700,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35515,OPTIDX,CE,9800,MIDCPNIFTY,MIDCPNIFTY 29th APR 9800 CE,MIDCPNIFTY29APR24C9800,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35518,OPTIDX,PE,9800,MIDCPNIFTY,MIDCPNIFTY 29th APR 9800 PE,MIDCPNIFTY29APR24P9800,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35521,OPTIDX,CE,9850,MIDCPNIFTY,MIDCPNIFTY 29th APR 9850 CE,MIDCPNIFTY29APR24C9850,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35524,OPTIDX,PE,9850,MIDCPNIFTY,MIDCPNIFTY 29th APR 9850 PE,MIDCPNIFTY29APR24P9850,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35525,OPTIDX,CE,9875,MIDCPNIFTY,MIDCPNIFTY 29th APR 9875 CE,MIDCPNIFTY29APR24C9875,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35526,OPTIDX,PE,9875,MIDCPNIFTY,MIDCPNIFTY 29th APR 9875 PE,MIDCPNIFTY29APR24P9875,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35527,OPTIDX,CE,9900,MIDCPNIFTY,MIDCPNIFTY 29th APR 9900 CE,MIDCPNIFTY29APR24C9900,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35528,OPTIDX,PE,9900,MIDCPNIFTY,MIDCPNIFTY 29th APR 9900 PE,MIDCPNIFTY29APR24P9900,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35529,OPTIDX,CE,9925,MIDCPNIFTY,MIDCPNIFTY 29th APR 9925 CE,MIDCPNIFTY29APR24C9925,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35530,OPTIDX,PE,9925,MIDCPNIFTY,MIDCPNIFTY 29th APR 9925 PE,MIDCPNIFTY29APR24P9925,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35531,OPTIDX,CE,9950,MIDCPNIFTY,MIDCPNIFTY 29th APR 9950 CE,MIDCPNIFTY29APR24C9950,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35532,OPTIDX,PE,9950,MIDCPNIFTY,MIDCPNIFTY 29th APR 9950 PE,MIDCPNIFTY29APR24P9950,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35533,OPTIDX,CE,9975,MIDCPNIFTY,MIDCPNIFTY 29th APR 9975 CE,MIDCPNIFTY29APR24C9975,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35534,OPTIDX,PE,9975,MIDCPNIFTY,MIDCPNIFTY 29th APR 9975 PE,MIDCPNIFTY29APR24P9975,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35543,OPTIDX,CE,10000,MIDCPNIFTY,MIDCPNIFTY 29th APR 10000 CE,MIDCPNIFTY29APR24C10000,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35546,OPTIDX,PE,10000,MIDCPNIFTY,MIDCPNIFTY 29th APR 10000 PE,MIDCPNIFTY29APR24P10000,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35547,OPTIDX,CE,10025,MIDCPNIFTY,MIDCPNIFTY 29th APR 10025 CE,MIDCPNIFTY29APR24C10025,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35566,OPTIDX,PE,10025,MIDCPNIFTY,MIDCPNIFTY 29th APR 10025 PE,MIDCPNIFTY29APR24P10025,2024-04-29,75,0.05
