Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
CDS,cde_fo,GBPINR,11373,OPTCUR,CE,100.5,GBPINR,GBPINR10MAY24C100.5,GBPINR 10th MAY 100.5 CE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11374,OPTCUR,PE,100.5,GBPINR,GBPINR10MAY24P100.5,GBPINR 10th MAY 100.5 PE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11375,OPTCUR,CE,100.75,GBPINR,GBPINR10MAY24C100.75,GBPINR 10th MAY 100.75 CE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11376,OPTCUR,PE,100.75,GBPINR,GBPINR10MAY24P100.75,GBPINR 10th MAY 100.75 PE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11377,OPTCUR,CE,101,GBPINR,GBPINR10MAY24C101,GBPINR 10th MAY 101 CE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11378,OPTCUR,PE,101,GBPINR,GBPINR10MAY24P101,GBPINR 10th MAY 101 PE,2024-05-10,1,0.0025
CDS,cde_fo,USDJPY,11379,OPTCUR,CE,131,USDJPY,USDJPY26SEP24C131,USDJPY 26th SEP 131 CE,2024-09-26,1,0.01
CDS,cde_fo,USDJPY,11380,OPTCUR,PE,131,USDJPY,USDJPY26SEP24P131,USDJPY 26th SEP 131 PE,2024-09-26,1,0.01
CDS,cde_fo,JPYINR,11381,OPTCUR,PE,49.75,JPYINR,JPYINR26SEP24P49.75,JPYINR 26th SEP 49.75 PE,2024-09-26,1,0.0025
CDS,cde_fo,JPYINR,11382,OPTCUR,CE,54,JPYINR,JPYINR27DEC24C54,JPYINR 27th DEC 54 CE,2024-12-27,1,0.0025
CDS,cde_fo,EURINR,11385,OPTCUR,CE,96.5,EURINR,EURINR26MAR24C96.5,EURINR 26th MAR 96.5 CE,2024-03-26,1,0.0025
CDS,cde_fo,EURINR,11386,OPTCUR,PE,96.5,EURINR,EURINR26MAR24P96.5,EURINR 26th MAR 96.5 PE,2024-03-26,1,0.0025
CDS,cde_fo,USDJPY,11387,OPTCUR,CE,131.5,USDJPY,USDJPY26SEP24C131.5,USDJPY 26th SEP 131.5 CE,2024-09-26,1,0.01
CDS,cde_fo,USDJPY,11388,OPTCUR,PE,131.5,USDJPY,USDJPY26SEP24P131.5,USDJPY 26th SEP 131.5 PE,2024-09-26,1,0.01
CDS,cde_fo,USDJPY,11389,OPTCUR,CE,132,USDJPY,USDJPY26SEP24C132,USDJPY 26th SEP 132 CE,2024-09-26,1,0.01
CDS,cde_fo,USDJPY,11390,OPTCUR,PE,132,USDJPY,USDJPY26SEP24P132,USDJPY 26th SEP 132 PE,2024-09-26,1,0.01
CDS,cde_fo,GBPINR,11393,OPTCUR,CE,102.25,GBPINR,GBPINR26APR24C102.25,GBPINR 26th APR 102.25 CE,2024-04-26,1,0.0025
CDS,cde_fo,GBPINR,11394,OPTCUR,PE,102.25,GBPINR,GBPINR26APR24P102.25,GBPINR 26th APR 102.25 PE,2024-04-26,1,0.0025
CDS,cde_fo,GBPINR,11395,OPTCUR,CE,101.25,GBPINR,GBPINR10MAY24C101.25,GBPINR 10th MAY 101.25 CE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11396,OPTCUR,PE,101.25,GBPINR,GBPINR10MAY24P101.25,GBPINR 10th MAY 101.25 PE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11398,OPTCUR,CE,101.5,GBPINR,GBPINR10MAY24C101.5,GBPINR 10th MAY 101.5 CE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11399,OPTCUR,PE,101.5,GBPINR,GBPINR10MAY24P101.5,GBPINR 10th MAY 101.5 PE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11400,OPTCUR,CE,101.75,GBPINR,GBPINR10MAY24C101.75,GBPINR 10th MAY 101.75 CE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11401,OPTCUR,PE,101.75,GBPINR,GBPINR10MAY24P101.75,GBPINR 10th MAY 101.75 PE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11404,OPTCUR,CE,102,GBPINR,GBPINR10MAY24C102,GBPINR 10th MAY 102 CE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11405,OPTCUR,PE,102,GBPINR,GBPINR10MAY24P102,GBPINR 10th MAY 102 PE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11412,OPTCUR,CE,102.25,GBPINR,GBPINR10MAY24C102.25,GBPINR 10th MAY 102.25 CE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11413,OPTCUR,PE,102.25,GBPINR,GBPINR10MAY24P102.25,GBPINR 10th MAY 102.25 PE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11414,OPTCUR,CE,102.5,GBPINR,GBPINR10MAY24C102.5,GBPINR 10th MAY 102.5 CE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11415,OPTCUR,PE,102.5,GBPINR,GBPINR10MAY24P102.5,GBPINR 10th MAY 102.5 PE,2024-05-10,1,0.0025
CDS,cde_fo,JPYINR,11416,OPTCUR,CE,59.75,JPYINR,JPYINR26JUN24C59.75,JPYINR JUN 59.75 CE,2024-06-26,1,0.0025
CDS,cde_fo,JPYINR,11417,OPTCUR,PE,59.75,JPYINR,JPYINR26JUN24P59.75,JPYINR JUN 59.75 PE,2024-06-26,1,0.0025
CDS,cde_fo,GBPINR,11418,OPTCUR,CE,102.75,GBPINR,GBPINR10MAY24C102.75,GBPINR 10th MAY 102.75 CE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11419,OPTCUR,PE,102.75,GBPINR,GBPINR10MAY24P102.75,GBPINR 10th MAY 102.75 PE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11420,OPTCUR,CE,103,GBPINR,GBPINR10MAY24C103,GBPINR 10th MAY 103 CE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11422,OPTCUR,PE,103,GBPINR,GBPINR10MAY24P103,GBPINR 10th MAY 103 PE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11423,OPTCUR,CE,103.25,GBPINR,GBPINR10MAY24C103.25,GBPINR 10th MAY 103.25 CE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11426,OPTCUR,PE,103.25,GBPINR,GBPINR10MAY24P103.25,GBPINR 10th MAY 103.25 PE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11427,OPTCUR,CE,103.5,GBPINR,GBPINR10MAY24C103.5,GBPINR 10th MAY 103.5 CE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11434,OPTCUR,PE,103.5,GBPINR,GBPINR10MAY24P103.5,GBPINR 10th MAY 103.5 PE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11435,OPTCUR,CE,103.75,GBPINR,GBPINR10MAY24C103.75,GBPINR 10th MAY 103.75 CE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11438,OPTCUR,PE,103.75,GBPINR,GBPINR10MAY24P103.75,GBPINR 10th MAY 103.75 PE,2024-05-10,1,0.0025
